ID,NAME,PLACE
149,Louis,Comoros
185,Lisa,Cuba
166,Carolyn,Indonesia
170,Irene,China
37,Anna,Brazil
128,Ryan,Malawi
118,Tammy,China
23,Pamela,Mongolia
27,Patrick,United Kingdom
191,Jonathan,China
1,Emily,Colombia
72,Jason,Brazil
105,Carl,Philippines
74,Jeffrey,Portugal
140,Willie,China
67,James,Indonesia
89,Phyllis,Philippines
54,Mildred,China
112,Mark,China
77,Melissa,China
110,Paul,Italy
70,Gloria,Armenia
99,Nicholas,Angola
100,Kimberly,Japan
43,Albert,Indonesia
97,Janet,Indonesia
20,Christopher,United States
90,Ernest,China
68,Denise,Indonesia
79,Christine,Japan
133,Brian,Netherlands
154,Katherine,China
120,James,Indonesia
35,Andrew,Philippines
75,Louise,China
3,Lisa,Indonesia
57,Joe,Russia
114,Denise,Sweden
132,Annie,Malaysia
152,Wanda,China
50,Michelle,China
199,Beverly,China
129,Patrick,Vanuatu
151,Cheryl,Canada
76,Patricia,Russia
176,Walter,Portugal
168,Joseph,France
178,Steve,China
92,Rebecca,Indonesia
6,Jennifer,Togo
34,Patricia,Yemen
56,Larry,Indonesia
62,Ruth,Nigeria
32,Steven,Belarus
164,Eric,Poland
163,Christine,Poland
7,Jimmy,Nigeria
26,Stephanie,Russia
127,Susan,Portugal
18,Peter,Bulgaria
187,Paula,France
25,Johnny,Colombia
131,Shawn,Philippines
73,Anna,France
195,Earl,Cameroon
33,Joyce,China
117,Lori,Philippines
190,Kenneth,Malaysia
193,Thomas,Brazil
44,Nicole,Indonesia
121,Patricia,Russia
177,Susan,Philippines
38,Lois,Portugal
21,Joyce,Cameroon
30,Christine,Malaysia
159,Lillian,China
52,Norma,Portugal
124,David,China
66,Teresa,Portugal
46,Shirley,Portugal
200,Judith,Brazil
106,Theresa,China
98,Arthur,China
11,Bruce,France
84,Donald,Indonesia
8,Fred,Brazil
40,Patricia,Peru
135,Anthony,Brazil
194,Wanda,China
143,Justin,Russia
137,Joan,San Marino
111,Jeffrey,France
88,Gregory,Russia
60,Benjamin,Ethiopia
136,Kelly,Nigeria
141,Larry,Bulgaria
13,Richard,Portugal
116,Edward,Afghanistan
179,Brian,Japan
161,Beverly,Indonesia
180,Virginia,Portugal
81,Phillip,Peru
198,Jose,Portugal
167,Edward,China
82,Edward,Portugal
96,Amanda,Colombia
150,David,Indonesia
146,Diana,Ukraine
139,Cynthia,Norway
174,Patrick,Syria
59,Joshua,Colombia
156,Nicole,Vietnam
31,Joshua,Colombia
119,Janice,Canada
85,Steven,Norway
138,Jacqueline,France
94,Emily,Russia
39,Fred,China
78,Bonnie,Thailand
49,Daniel,China
125,Ashley,Honduras
157,Sean,Czech Republic
123,Donna,Japan
24,Joshua,France
130,Raymond,Portugal
188,Alice,Peru
12,Arthur,Sweden
196,Joan,Sudan
142,Sandra,Thailand
36,Louise,Burundi
147,Joyce,Czech Republic
172,Victor,Argentina
186,Clarence,Indonesia
22,Rose,Bosnia and Herzegovina
183,Evelyn,Democratic Republic of the Congo
29,Dennis,Brazil
162,Ernest,Vietnam
158,Jeffrey,Indonesia
155,Johnny,Australia
95,Randy,China
101,Diane,China
41,Joyce,Vietnam
160,Ann,Guatemala
144,Diane,Argentina
189,Norma,Austria
87,Philip,Argentina
19,Michelle,Poland
145,Robert,China
169,Lois,Portugal
61,Theresa,Peru
15,Sarah,Japan
115,Clarence,Philippines
108,Frances,Indonesia
14,Edward,Mongolia
107,Virginia,Czech Republic
93,Frances,Czech Republic
71,Jeffrey,Kenya
9,Theresa,China
65,Jason,Philippines
28,Lori,Russia
109,Johnny,Japan
197,Angela,Nigeria
53,Kimberly,Eritrea
171,Ralph,China
184,Jacqueline,Sweden
2,Ryan,Indonesia
165,Lawrence,Russia
10,Paul,China
91,James,Ukraine
182,Antonio,Poland
102,Christine,Philippines
45,Ryan,Peru
86,Juan,Cape Verde
55,Ruth,Poland
69,Timothy,China
80,Andrew,Japan
134,Ronald,Tunisia
48,Roy,Indonesia
175,Lori,Costa Rica
153,Earl,Poland
192,Jimmy,Suriname
51,Jeffrey,Mongolia
126,Jimmy,Indonesia
83,Linda,Indonesia
148,Janice,Indonesia
122,Stephanie,France
47,Jean,Gambia
173,Deborah,Thailand
181,Patrick,Antigua and Barbuda
63,Barbara,Russia
5,Frances,Russia
58,Alice,Indonesia
104,Louis,China
64,Patricia,Brazil
16,Cynthia,China
103,Mary,Tanzania
17,Matthew,Bosnia and Herzegovina
4,Eugene,Philippines
42,Louis,Chad
113,Sandra,Indonesia
